Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Provided,Salary,Min Salary,Max Salary,Avg Salary,Location State,Company,Company Age,Python,R Studio,AWS,ML,Tableau,SQL,Excel,Spark,Apache,API
Data Scientist - Video Computer Vision,$150K (Employer est.),"Summary
Posted: Mar 29, 2021
Weekly Hours: 40
Role Number:200234938
Do you have a passion for deep learning and computer vision problems? We are looking for someone who thrives on collaboration and wants to push the boundaries of what is possible today! Join our team of committed deep learning engineers in the Video Computer Vision group! We are a centralized applied research and engineering organization responsible for developing real-time on-device Computer Vision and Machine Perception technologies across Apple products. As a member of the Video Computer Vision group you will develop new technologies in the area of scene understanding and reasoning for Apple’s next generation products. As a member of the Video Computer Vision group you will develop new technologies in the area of scene understanding and reasoning for Apple’s next generation products.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,0,0,0,0,0,0,0
Data Scientist,$150K (Employer est.),"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,0,150 ,150,150,150.0,WA,american capital group,35,0,0,0,0,0,0,0,0,0,1
"Principal Applied Scientist, NLP",$150K (Employer est.),"About the team
At Zillow Group, we believe that home matters, and we are on a mission to help everyone get into a home where they can thrive. The process of buying, selling, or renting a home should be easy!

The Core NLP and Conversational AI Team builds products that transform the way real estate works, by reducing friction in the home buying, selling and renting process. Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant amounts of data and building ML and deep learning models to drive transactions and revenue. These solutions ingest large volumes of data and process it to build and deploy large production models that improve the home buying/selling and renting experience.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $177,100.00 - $282,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3","Seattle, WA",5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,1,0,0,0,0,0,0
"Senior Data Scientist, Rich Media Experiences",$150K (Employer est.),"About the team
We are the Rich Media Experiences team (RMX) and we’re inventing the technology that is changing how people shop for their homes. Our technology gives buyers the feeling of being there from the convenience of their phones or PCs. Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk through a home. We believe this is the future of home shopping.
And we do this as part of Zillow, within a culture that is the best most of us have ever experienced.
About the role
The Senior Data Scientist helps guide our Operations team as well as our engineering team using data to bring about clarity. You will create insights by defining, exposing, analyzing and visualizing crucial data about how our teams and tools are performing. Our Operations team will rely every day on the operational reporting you will create to run the team. Our product and engineering team will look to you to help decide which problems to tackle next, and how to think about them. Our leadership team will depend upon the insights you deliver to help make decisions.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.

In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,0,0,0,0,0,0,0
"Applied Scientist, Computer Vision",$150K (Employer est.),"About the team
Are you interested in innovating new computer vision and deep learning technologies to power immersive experiences that change how people experience and envision their next home? Zillow’s Rich Media Experiences (RMX) team employs computer vision, 3D, and deep learning to invent the technology that enables Zillow's customers to make sense of home information in order to find their dream home. Using groundbreaking technologies, our team works across product, research, engineering, and business to enable people to virtually walk through a home. You'll have the chance to be a part of empowering the next-generation of home shopping by creating new state-of-the-art technologies that deliver unrivaled information and visual experiences to our customers.
About the role


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3","Seattle, WA",5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,0,0,0,0,0,0,0
"Senior Applied Scientist, Personalization",$150K (Employer est.),"About the team
Zillow Group’s Growth AI team helps customers discover the right home through relevant & delightful product experiences and messaging. We power these experiences through a deep understanding of our customers and the homes they love! Our team leverages machine learning to serve up personalized content and power a variety of personalized customer touchpoints, including email and push notification messaging.
Zillow, the top real estate website in the U.S., is building an on-demand real estate experience. Whether selling, buying, renting or financing, customers can turn to Zillow to find and get into their next home with speed, certainty and ease.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $150,200.00 - $239,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,1,0,0,0,0,0,0
Senior Applied Scientist,$150K (Employer est.),"About the team
Join our industry-leading Economic Research team bringing innovative analysis, creativity and excellence to the U.S. housing market. We create, productionalize, analyze, and share a full suite of housing data products and analysis for an audience inside and outside of Zillow. Our work contextualizes Zillow’s unparalleled living database of all homes and hundreds of millions of customers to provide insight to everyday consumers and open data to hundreds of researchers and policymakers across the country. You’ll work in an informal, fun, collaborative atmosphere with a dynamic team with a diverse range of interests and skills.

Learn more at www.zillow.com/research
About the role

This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $150,200.00 - $239,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,0,0,0,1,0,0,0
Sr. Data Analyst/Scientist,$150K (Employer est.),"Are you interested in defining the future of creativity by making it fast, fun, and frictionless to make sophisticated-looking content? Passionate about the next generation of users and building modern solutions that connect to leading social and digital platforms?
We are a group of storytellers, technology innovators, and change agents. Building off Adobe Spark’s initial success, we are now re-imagining (from the ground up!) the way people discover, create, and publish the full range of media types - from graphics to imaging to video - right in the browser and on their mobile devices. Our aim is to build fast and easy product experiences that enable students, social influencers, marketers, small businesses - really anyone with something to say - to make something that will stand out and impress their audience. Join us in building a new creativity platform that will help define Creative Cloud and Adobe’s Digital Media business!
We are seeking an experienced Sr Data Science Analyst to support the Adobe Spark and CC Education teams. This role is a strategic role, partnering with product managers and the leadership team making key decisions about the direction of our products. We’re looking for someone who has experience and passion about behavioral analysis for software products.",4.4,"Adobe
4.4","Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),0,0,150 ,150,150,150.0,WA,adobe,39,0,0,0,0,0,0,0,1,0,0
Data Scientist,$150K (Employer est.),"The NSA Story The National Security Agency (NSA) exists to obtain insight into foreign adversaries' plans and intentions and protect our U.S. cybersecurity interests. We provide national security insights and threat warnings to government decision-makers and eradicate cybersecurity threats. How You Can Contribute Data science is present in every aspect of the NSA mission. Are you ready to use your technical expertise to analyze large data sets to inform decision-makers against foreign threats? Data scientists at NSA tackle high priority, often lifesaving, foreign intelligence and cybsersecurity challenges by leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. Data scientists have opportunities to attend technical conferences with experts from industry and academia as well as explore and share NSA's challenges and successes at technical roundtables. Responsibilities - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",3.6,"National Security Agency
3.6","Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,0,0,150 ,150,150,150.0,MD,national security agency,-1,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist,$150K (Employer est.),"About the team
The Team: Customer Integrated Analytics

THE DEPARTMENT: AI

The Customer Integrated Analytics (CIA) team sits at the intersection of Customer analytics, Marketing analytics, Economics and Corporate Strategy to support strategic decision making at Zillow Group. The team gathers, and disseminates critical strategic business data and analysis through regularly scheduled executive presentations and reporting. The CIA team is also relied upon by Corporate Development & Strategy teams and the Senior Leadership Team to help with ad hoc investigations and analysis that either span vertical business lines or involve competitive analysis. This team is designed to have a broad view of the data assets at Zillow Group to deliver insights that span individual teams and lines of businesses.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,0,0,0,0,0,0,0
"Senior Data Scientist, Customer Engagement Analytics",$150K (Employer est.),"About the team
Zillow Group is currently seeking a Senior Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist - Ads Optimization,$150K (Employer est.),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Seattle, WA",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,0,150 ,150,150,150.0,WA,indeed,17,0,0,0,1,0,0,0,0,0,1
"Data Scientist, Customer Engagement Analytics",$150K (Employer est.),"About the team
Zillow Group is currently seeking a Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $107,800.00 - $172,200.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,1,0,0,0,0,0,0
Data Scientist,$150K (Employer est.),"Job Description
We are actively hiring for a Data Scientist to join our team and support CSAA Insurance Group, a AAA Insurer, in achieving our goals! We are looking for motivated, innovative individual, who think big and move fast with a passion for service excellence.
Essential responsibilities
Performs complex insurance, financial, economic research, and modeling in collaboration with product management, underwriting, claims, actuarial and marketing.
Collaborates with other functional areas to develop quality standards, strategy tactics and systems for monitoring performance for all insurance transactions.",3.7,"CSAA Insurance Group, a AAA Insurer
3.7","Seattle, WA",1001 to 5000 Employees,1914,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,150 ,150,150,150.0,WA,csaa insurance group,107,0,0,0,0,0,0,1,0,0,0
"Data Scientist II, Premier Agent",$150K (Employer est.),"About the team
Zillow Group’s mission is to give people the power to unlock life's next chapter. Zillow Group’s largest business unit, Premier Agent, introduces customers who are looking to buy or sell homes to real estate agents who can help them do so. We are in the process of transforming our business from an advertising model to a transaction model to improve outcomes for our partners and the home shoppers they connect to through our program. The Agent Analytics team powers the Premier Agent business with insights and recommendations to influence business strategy and move the company forward.
About the role
Agent Analytics works cross-functionally with partners across the entire business to drive customer satisfaction, transactions, and revenue. Help us accelerate our experimentation and our test and learn strategy. More specifically, you will:
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $107,800.00 - $172,200.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist - Ranking Team,$150K (Employer est.),"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed. The Ranking team focuses on leveraging our understanding of jobs + Job seekers, and our scale. The team’s mission is to match every jobseeker find the most relevant jobs in their job search. We work hard to ensure each personalized search brings the most relevant and attainable search results for every jobseeker.

Responsibilities:
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Austin, TX",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,0,150 ,150,150,150.0,TX,indeed,17,0,0,0,1,0,0,0,0,0,1
Principal-Data Scientist,$150K (Employer est.),"The DIRECTV hub location is in El Segundo, CA. As this is a virtual role, the ideal candidate would be in the El Segundo area or elsewhere in the United States. #virtualwork #virtualjob #remote
At DIRECTV, we bring the world together with technology in ways you never imagined. Whether it’s your next big idea or the newest innovation, we’re looking for people like you to lead the way. Your creative solutions could impact innovations across telecommunications, high-speed Internet and pay TV. It’s an opportunity to combine your passions for entertainment, media and technology to transform our company and your career. Step into a future with DIRECTV.
Do you have a passion for using sophisticated statistical analysis to understand what drives customer sentiment? The Principal Data Scientist, Customer Experience will use expert skills in predictive modelling, statistics, machine learning and other complex analytics to explore and identify influences on behavior. You’ll have the opportunity to bring together a variety of internal and external data sources and apply intelligent data science to solve business problems and improve the customer experience.


Job Posting: Oct 27, 2021, 1:26:40 PM
Other Locations: United States
Schedule: Full-time
Job Level: Senior Associate/Second Level Manager",3.6,"DIRECTV
3.6","El Segundo, CA",10000+ Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,150 ,150,150,150.0,CA,directv,-1,0,0,0,1,0,0,0,0,0,0
"Data Scientist, Advanced Analytics",$150K (Employer est.),"JOB SUMMARY: Design, develop and evaluate advanced predictive and machine learning models with a focus on the personalization and optimization of audience first, marketing tactics. Analyze and extract relevant information about guest behaviors and preferences from both structured and unstructured data to better understand marketing opportunities. Conduct advanced analysis on various marketing efforts to gauge performance, impact and effectiveness against the desired results. Responsible for building efficient and scalable automated data processes that prep and standardize various data sources in support of personalization. Delivers accurate, clear, concise insights and visualizations leveraging predictive results that inform and inspire internal stakeholders to make better business decisions.
MAJOR RESPONSIBILITIES:
Mine data to detect patterns, opportunities and insights via advanced analytical techniques to drive Personalization and Audience Strategy. Conduct analyses utilizing 1st Party and appended information about audiences to facilitate the right content, at the right time, across a guest’s planning, shopping, and on-property experience.",4.1,"Universal Orlando
4.1","Orlando, FL",10000+ Employees,1987,Subsidiary or Business Segment,"Hotels, Motels, & Resorts",Travel & Tourism,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,FL,universal orlando,34,0,0,0,1,0,0,0,0,0,0
Machine Learning Engineer,$150K (Employer est.),"About the team
At Zillow Group, we believe that home matters, and we are on a mission to help everyone get into a home where they can thrive. The process of buying, selling, or renting a home should be easy!

The NLP Applications and Experiences Team is building next-generation AI algorithms and platforms to transform the way real estate works by reducing friction in the home buying, selling and renting process. These algorithms and platforms ingest large volumes of data and process it to build and deploy production models at scale that improve the home buying/selling and renting experience. Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant amounts of data and building ML and deep learning models to drive transactions and revenue.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $132,400.00 - $211,600.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,150 ,150,150,150.0,WA,zillow,16,0,0,0,1,0,0,0,0,0,0
"AI/ML - ML Applied Scientist, ML Platform & Technology",$150K (Employer est.),"Summary
Posted: Aug 23, 2021
Weekly Hours: 40
Role Number:200272282
We’re looking for applied machine learning scientist to help us build a next generation Deep Learning framework geared towards fueling on-device machine learning capabilities and emerging innovations. You’ll be part of a small team of developers and deep learning experts working in the area of device-aware neural network optimization and neural architecture search. We’re looking for candidates passionate about machine learning, computational science and hardware. Any background and experience level is acceptable. In exchange we offer respectful work environment, flexible set of responsibilities, access to world class experts and growth opportunities in one of the best companies in the world.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,1,0,0,0,0,0,0
"AI/ML - Sr. Data Scientist, Siri Understanding (Private Learning)",$150K (Employer est.),"Summary
Posted: Sep 29, 2021
Weekly Hours: 40
Role Number:200203939
Apple’s AI/ML teams transform every Apple product and because we fully integrate hardware and software, we can collaborate to deliver amazing experiences while protecting user data. Siri is the voice of Apple products and it’s launch was a defining moment in the history of Artificial Intelligence. Hundreds of millions of people now use Siri to send a message, play their favorite song or even take a selfie. We’re looking for a hardworking individual able to improve the processing, analysis and preparation of huge data sets used to train Siri’s machine learned models. We love big-data technologies, including, data exploration, visualization, distributed processing, and applications at scale. We believe that Privacy is a fundamental and universal human right and embrace this in our day-to-day work. If you share these values and are capable of applying cutting-edge data science, you'll improve Siri’s ability to understand users. In this role, you'd also analyze user behavior, prepare data sets and enable Siri to further embrace privacy-preserving machine learning. This role sits on the Private Learning team, which is a newly-minted team nested within Siri Understanding and Apple's overall AI/ML organization.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,1,0,0,0,0,0,0
"AI/ML - Sr. Data Scientist - Statistician, AI/ML Data",$150K (Employer est.),"Summary
Posted: Sep 13, 2021
Role Number: 200269323
Want to push the envelope on human-computer interaction at Apple? Contribute to a product that is redefining mobile and desktop computing, and work with the people who are building the intelligent assistant that helps millions of people get things done — just by asking? Our vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. Part of this mission is achieved through evaluation and experimentation; as a Data Scientist, you will help to evolve our core methods and technologies.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,0,0,0,0,0,0,0
"AI/ML - Data Scientist, ML Platform & Technology",$150K (Employer est.),"Summary
Posted: Oct 21, 2021
Weekly Hours: 40
Role Number:200292010
Apple is seeking qualified people for the position of AI/ML Data Scientist. This team improves AI/ML platform services and infrastructure by discovering, validating, and/or implementing end-to-end performance improvements of our systems and our users' code. We use analytics of our service metrics to do our work. As a member of the team, you will work on some of the most daring service improvement projects in our organization, which impact Apple’s company-wide AI/ML infrastructure.
Key Qualifications",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist,$150K (Employer est.),"We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, age, citizenship, color, religion, sex, marital status, national origin, disability status, gender identity or expression, protected veteran status, or any other characteristic protected by law.
Description
At BASF, we create chemistry through the power of connected minds. By balancing economic success with environmental protection and social responsibility, we are building a more sustainable future through chemistry. As the world’s leading chemical company, we help our customers in nearly every industry meet the current and future needs of society through science and innovation. We provide a challenging and rewarding work environment and are always working to form the best team—especially from within, through an emphasis on lifelong learning and development. We are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Large Employers in 2021. Come join us on our journey to create solutions for a sustainable future! Senior Data Scientist (2103095) – Freeport, TX Where the Chemistry Happens Digitalization is a key differentiator to position BASF as the leading chemical company for our customers. We as Global Digital Services enable BASF's digitalization. In agile teams, we develop innovative digital solutions for BASF and its customers, create new exciting customer experiences and business growth, and drive efficiencies in processes. We provide IT that works and offer know-how and access to latest technologies. We are seeking a professional like you to join our team as a Senior Data Scientist.
Qualifications - BASF recognizes institutions of Higher Education which are accredited by the Council for Higher Education Accreditation or equivalent
Formula for Success Leveraging your master’s degree (PhD preferred) in Data Science, Computer Science, or related field, you will work with a team of data scientists, engineers, and other operations team members to apply data science to real problems to find real solutions. You and the team will be responsible for translating those solutions into practical and interactive interfaces for the operations community in a predominant manufacturing environment. Your hands on experience with coding and machine learning (utilizing programming tools, such as Python, R and databases, NOSQL, Big Data), as well as technical frameworks (API, CI/CD, Docker container, Azure) will be leveraged in building solutions involving state of the art libraries and technology. You will leverage your working experience and knowledge in agile methodologies (e.g. Scrum and DevOps concepts. Your familiarity with core solutions (examples: OSI PI, AspenTech, Trendminer) will be helpful as you will be responsible for maintaining a working knowledge of industry solutions and developments. Demonstrating your understanding and experience with predictive analytics, including machine learning and time series techniques, and your understanding of automation levels and interfaces between levels, you will solve unique manufacturing challenges. Successfully engaging within the organization, you will interact with other application workstream leads within the North American and Global Digitalization and Technology Teams. If you have the ability to analyze stakeholder requests and develop business cases, program customized solutions, and/or share and teach best practices in predictive analytics, we will consider these advantageous to the role. Create Your Own Chemistry: What We Offer You… Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs, and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry. The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career. BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job.",4.1,"BASF
4.1","Freeport, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,0,150 ,150,150,150.0,TX,basf,-1,1,0,0,1,0,1,0,0,0,1
AI/ML - Sr Data Scientist,$150K (Employer est.),"Summary
Posted: Sep 13, 2021
Role Number: 200220272
Want to push the envelope on human-computer interaction at Apple? Contribute to a product that is redefining mobile and desktop computing, and work with the people who are building the intelligent assistant that helps millions of people get things done — just by asking? Our vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. Part of this mission is achieved through evaluation and experimentation; as a Data Scientist, you will help to evolve our core methods and technologies.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,150 ,150,150,150.0,WA,apple,45,0,0,0,0,0,0,0,0,0,0
