Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Ads Optimization,$150K (Employer est.),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Seattle, WA",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
"AI/ML - Data Scientist, ML Platform & Technology",$150K (Employer est.),"Summary
Posted: Oct 21, 2021
Weekly Hours: 40
Role Number:200292010
Apple is seeking qualified people for the position of AI/ML Data Scientist. This team improves AI/ML platform services and infrastructure by discovering, validating, and/or implementing end-to-end performance improvements of our systems and our users' code. We use analytics of our service metrics to do our work. As a member of the team, you will work on some of the most daring service improvement projects in our organization, which impact Apple’s company-wide AI/ML infrastructure.
Key Qualifications",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,$150K (Employer est.),"Job Description
We are actively hiring for a Data Scientist to join our team and support CSAA Insurance Group, a AAA Insurer, in achieving our goals! We are looking for motivated, innovative individual, who think big and move fast with a passion for service excellence.
Essential responsibilities
Performs complex insurance, financial, economic research, and modeling in collaboration with product management, underwriting, claims, actuarial and marketing.
Collaborates with other functional areas to develop quality standards, strategy tactics and systems for monitoring performance for all insurance transactions.",3.7,"CSAA Insurance Group, a AAA Insurer
3.7","Seattle, WA",1001 to 5000 Employees,1914,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Sr Data Scientist,$150K (Employer est.),"JOB DESCRIPTION
A well known Asset Management company located in the City is looking for a Sr Data Scientist to join their team.

In this role you will be working on multiple projects within the organization to provide advanced analytics to continue to improve internal processes. You will be providing analysis, recommendations and continued support to continue the growth of their data driven environment. The right candidate would have 5+ years working as a Data Scientist/Engineer and be comfortable extracting data using Python, SQL and R.

This organization offers competitive salary with up to a 20% bonus, strong benefits and work/life balance.",3.4,"SNI Technology
3.4","Chicago, IL",201 to 500 Employees,1998,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
"AI/ML - Sr. Software Engineer (Data), Siri Understanding (Private Learning)",$150K (Employer est.),"Summary
Posted: Jul 12, 2021
Role Number: 200265705
Apple’s AI/ML teams transform every Apple product, and because we fully integrate hardware and software, we can collaborate to deliver amazing experiences while protecting user data. Siri is the voice of Apple products and its launch was a defining moment in the history of Artificial Intelligence. Hundreds of millions of people now use Siri to send a message, play their favorite song or even take a selfie. We’re looking for a hardworking individual able to improve the processing, analysis and preparation of huge data sets used to train Siri’s machine learned models. We love big-data technologies, including, data exploration, visualization, distributed processing, and applications at scale. We also believe that Privacy is a fundamental and universal human right and embrace this philosophy in our day-to-day work. If you share these values and are capable of applying cutting-edge data science, you’ll improve Siri’s ability to understand users. In this role, you’d also analyze user behavior, prepare data sets and enable Siri to further embrace privacy-preserving machine learning. This role sits on the Private Learning team, which is a newly-minted team nested within Siri Understanding and Apple’s overall AI/ML organization.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Data Scientist, Customer Engagement Analytics",$150K (Employer est.),"About the team
Zillow Group is currently seeking a Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $107,800.00 - $172,200.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
"Data Scientist, Advanced Analytics",$150K (Employer est.),"JOB SUMMARY: Design, develop and evaluate advanced predictive and machine learning models with a focus on the personalization and optimization of audience first, marketing tactics. Analyze and extract relevant information about guest behaviors and preferences from both structured and unstructured data to better understand marketing opportunities. Conduct advanced analysis on various marketing efforts to gauge performance, impact and effectiveness against the desired results. Responsible for building efficient and scalable automated data processes that prep and standardize various data sources in support of personalization. Delivers accurate, clear, concise insights and visualizations leveraging predictive results that inform and inspire internal stakeholders to make better business decisions.
MAJOR RESPONSIBILITIES:
Mine data to detect patterns, opportunities and insights via advanced analytical techniques to drive Personalization and Audience Strategy. Conduct analyses utilizing 1st Party and appended information about audiences to facilitate the right content, at the right time, across a guest’s planning, shopping, and on-property experience.",4.1,"Universal Orlando
4.1","Orlando, FL",10000+ Employees,1987,Subsidiary or Business Segment,"Hotels, Motels, & Resorts",Travel & Tourism,$1 to $2 billion (USD)
Machine Learning Engineer,$150K (Employer est.),"About the team
At Zillow Group, we believe that home matters, and we are on a mission to help everyone get into a home where they can thrive. The process of buying, selling, or renting a home should be easy!

The NLP Applications and Experiences Team is building next-generation AI algorithms and platforms to transform the way real estate works by reducing friction in the home buying, selling and renting process. These algorithms and platforms ingest large volumes of data and process it to build and deploy production models at scale that improve the home buying/selling and renting experience. Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant amounts of data and building ML and deep learning models to drive transactions and revenue.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $132,400.00 - $211,600.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
AI/ML - Sr Data Scientist,$150K (Employer est.),"Summary
Posted: Sep 13, 2021
Role Number: 200220272
Want to push the envelope on human-computer interaction at Apple? Contribute to a product that is redefining mobile and desktop computing, and work with the people who are building the intelligent assistant that helps millions of people get things done — just by asking? Our vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Analytics team is to inform the evolution of Siri through measurement and analysis of the user experience. Part of this mission is achieved through evaluation and experimentation; as a Data Scientist, you will help to evolve our core methods and technologies.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - Sr. Software Engineer, Siri Understanding (Private Learning)",$150K (Employer est.),"Summary
Posted: Sep 7, 2021
Weekly Hours: 40
Role Number:200224480
Play a part in the next revolution in human-computer interaction. Contribute to a product that is redefining mobile computing. Create groundbreaking technology for mobile devices, spoken language, big data, and artificial intelligence systems. And work with the people who created the intelligent assistant that helps millions of people get things done — just by asking. Join the Siri AI/ML team at Apple.
Key Qualifications",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - ML Applied Scientist, ML Platform & Technology",$150K (Employer est.),"Summary
Posted: Aug 23, 2021
Weekly Hours: 40
Role Number:200272282
We’re looking for applied machine learning scientist to help us build a next generation Deep Learning framework geared towards fueling on-device machine learning capabilities and emerging innovations. You’ll be part of a small team of developers and deep learning experts working in the area of device-aware neural network optimization and neural architecture search. We’re looking for candidates passionate about machine learning, computational science and hardware. Any background and experience level is acceptable. In exchange we offer respectful work environment, flexible set of responsibilities, access to world class experts and growth opportunities in one of the best companies in the world.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - Machine Learning Engineer, Siri Understanding (Private Learning)",$150K (Employer est.),"Summary
Posted: Aug 31, 2021
Weekly Hours: 40
Role Number:200249694
Siri is deployed to hundreds of millions of devices worldwide helping our users with their daily tasks, just by asking. We, the Private learning team in the Siri Understanding org are on a mission to take Siri to the next level of intelligence while preserving privacy of our users. We believe every user interaction with Siri is an opportunity to learn, we also believe Privacy is a fundamental human right — we are looking for talented machine learning engineers to help us make Siri more intelligent and personal by learning from user interactions without compromising their privacy.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"AI/ML - Machine Learning Applied Scientist (Neural Network Optimization), ML Platform & Technology",$150K (Employer est.),"Summary
Posted: Oct 12, 2021
Role Number: 200269759
Apple builds world-class innovative products that integrate hardware with intelligent software experiences using machine learning, artificial intelligence, and computer vision. Machine Learning Platform and Technologies is the team that makes it possible for Apple engineers to innovate ML driven product features rapidly and at scale. The team enables future Apple intelligent products by making cutting edge ML technologies, large scale compute and data systems designed specifically for ML available to engineers within Apple. Come join the team that is making ML innovation possible here at Apple. We’re looking for applied machine learning scientist to help us build a next generation Deep Learning framework geared towards fueling on-device machine learning capabilities and emerging innovations. You’ll be part of a small team of developers and deep learning experts working in the area of device-aware neural network optimization and neural architecture search. We’re looking for candidates passionate about machine learning, computational science and hardware. Any background and experience level is acceptable. In exchange we offer respectful work environment, flexible set of responsibilities, access to world class experts and growth opportunities in one of the best companies in the world.",4.3,"Apple
4.3","Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,$150K (Employer est.),"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Tableau Engineer/Data Scientist- Next Generation Interceptor Program,$150K (Employer est.),"Requisition ID: R10009955
Category: Engineering
Location: Chandler - AZ, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes- May Consider Occasional/Part-Time Teleworking for this position
Shift: Not Applicable (United States of America)
Travel Required: Yes, 10% of the Time",4.0,"Northrop Grumman
4.0","Chandler, AZ",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Principal Data Scientist - Match Recommendations,$150K (Employer est.),"Your Job
The Match Recommendations team builds machine learning models that recommend best-match jobs to job seekers on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobseekers with their next job. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality matches to jobseekers and employers.

As a Principal Data Scientist on the Match Recommendations team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time",4.3,"Indeed
4.3","Seattle, WA",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Machine Learning Data Research Scientist,$150K (Employer est.),"Description
Job Description:
Looking for an opportunity to make an impact?
At Leidos, we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams, contribute to our communities, and operate sustainable. Everything we do is built on a commitment to do the right thing for our customers, our people, and our community. Our Mission, Vision, and Values guide the way we do business. Your greatest work is ahead!
The Leidos Research Support Team supporting the National Energy Technology Laboratory (NETL) is seeking a Machine Learning Data Research Scientist to join our Team in Albany, OR as part of our Workforce Development Program. This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.",3.9,"Leidos
3.9","Albany, OR",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
"Principal Applied Scientist, NLP",$150K (Employer est.),"About the team
At Zillow Group, we believe that home matters, and we are on a mission to help everyone get into a home where they can thrive. The process of buying, selling, or renting a home should be easy!

The Core NLP and Conversational AI Team builds products that transform the way real estate works, by reducing friction in the home buying, selling and renting process. Our team handles machine learning tasks across the multiple business lines including Premier Agent, Shopping, Rentals and Zillow Offers, absorbing significant amounts of data and building ML and deep learning models to drive transactions and revenue. These solutions ingest large volumes of data and process it to build and deploy large production models that improve the home buying/selling and renting experience.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $177,100.00 - $282,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3","Seattle, WA",5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
"Senior Data Scientist, Rich Media Experiences",$150K (Employer est.),"About the team
We are the Rich Media Experiences team (RMX) and we’re inventing the technology that is changing how people shop for their homes. Our technology gives buyers the feeling of being there from the convenience of their phones or PCs. Using Computer Vision techniques and AI-powered algorithms, we work across product, research, engineering, and business to enable people to virtually walk through a home. We believe this is the future of home shopping.
And we do this as part of Zillow, within a culture that is the best most of us have ever experienced.
About the role
The Senior Data Scientist helps guide our Operations team as well as our engineering team using data to bring about clarity. You will create insights by defining, exposing, analyzing and visualizing crucial data about how our teams and tools are performing. Our Operations team will rely every day on the operational reporting you will create to run the team. Our product and engineering team will look to you to help decide which problems to tackle next, and how to think about them. Our leadership team will depend upon the insights you deliver to help make decisions.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.

In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Data Scientist,$150K (Employer est.),"Description
Job Description:
Looking for an opportunity to make an impact?
At Leidos, we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams, contribute to our communities, and operate sustainable. Everything we do is built on a commitment to do the right thing for our customers, our people, and our community. Our Mission, Vision, and Values guide the way we do business. Your greatest work is ahead!
An opportunity exists within the RSS Contract at National Energy Technology Laboratory (NETL)-Pittsburgh to join an interdisciplinary team participating in the research and development of advanced data analytics methods applied to energy infrastructure sensing applications, with an emphasis on natural gas infrastructure. NETL is a multi-disciplinary, scientific and technical-oriented national laboratory and the U.S. Department of Energy’s primary lab supporting fossil fuel-based energy research. The Data Scientist will collaborate on an interdisciplinary team spanning industry, academic, and national laboratory partners that seeks to develop and demonstrate advanced sensors and enabling technologies for energy infrastructure monitoring applications.
Pay Range $71,500.00 - $110,000.00 - $148,500.00",3.9,"Leidos
3.9","Pittsburgh, PA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Sr. Data Analyst/Scientist,$150K (Employer est.),"Are you interested in defining the future of creativity by making it fast, fun, and frictionless to make sophisticated-looking content? Passionate about the next generation of users and building modern solutions that connect to leading social and digital platforms?
We are a group of storytellers, technology innovators, and change agents. Building off Adobe Spark’s initial success, we are now re-imagining (from the ground up!) the way people discover, create, and publish the full range of media types - from graphics to imaging to video - right in the browser and on their mobile devices. Our aim is to build fast and easy product experiences that enable students, social influencers, marketers, small businesses - really anyone with something to say - to make something that will stand out and impress their audience. Join us in building a new creativity platform that will help define Creative Cloud and Adobe’s Digital Media business!
We are seeking an experienced Sr Data Science Analyst to support the Adobe Spark and CC Education teams. This role is a strategic role, partnering with product managers and the leadership team making key decisions about the direction of our products. We’re looking for someone who has experience and passion about behavioral analysis for software products.",4.4,"Adobe
4.4","Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
"Applied Scientist, Computer Vision",$150K (Employer est.),"About the team
Are you interested in innovating new computer vision and deep learning technologies to power immersive experiences that change how people experience and envision their next home? Zillow’s Rich Media Experiences (RMX) team employs computer vision, 3D, and deep learning to invent the technology that enables Zillow's customers to make sense of home information in order to find their dream home. Using groundbreaking technologies, our team works across product, research, engineering, and business to enable people to virtually walk through a home. You'll have the chance to be a part of empowering the next-generation of home shopping by creating new state-of-the-art technologies that deliver unrivaled information and visual experiences to our customers.
About the role


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3","Seattle, WA",5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Senior Data Scientist - Ranking Team,$150K (Employer est.),"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed. The Ranking team focuses on leveraging our understanding of jobs + Job seekers, and our scale. The team’s mission is to match every jobseeker find the most relevant jobs in their job search. We work hard to ensure each personalized search brings the most relevant and attainable search results for every jobseeker.

Responsibilities:
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Austin, TX",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Data Scientist - Ads Optimization,$150K (Employer est.),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,"Indeed
4.3","Seattle, WA",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
"Senior Applied Scientist, Personalization",$150K (Employer est.),"About the team
Zillow Group’s Growth AI team helps customers discover the right home through relevant & delightful product experiences and messaging. We power these experiences through a deep understanding of our customers and the homes they love! Our team leverages machine learning to serve up personalized content and power a variety of personalized customer touchpoints, including email and push notification messaging.
Zillow, the top real estate website in the U.S., is building an on-demand real estate experience. Whether selling, buying, renting or financing, customers can turn to Zillow to find and get into their next home with speed, certainty and ease.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $150,200.00 - $239,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Senior Data Scientist,$150K (Employer est.),"About the team
The Team: Customer Integrated Analytics

THE DEPARTMENT: AI

The Customer Integrated Analytics (CIA) team sits at the intersection of Customer analytics, Marketing analytics, Economics and Corporate Strategy to support strategic decision making at Zillow Group. The team gathers, and disseminates critical strategic business data and analysis through regularly scheduled executive presentations and reporting. The CIA team is also relied upon by Corporate Development & Strategy teams and the Senior Leadership Team to help with ad hoc investigations and analysis that either span vertical business lines or involve competitive analysis. This team is designed to have a broad view of the data assets at Zillow Group to deliver insights that span individual teams and lines of businesses.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
"Senior Data Scientist, Customer Engagement Analytics",$150K (Employer est.),"About the team
Zillow Group is currently seeking a Senior Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $127,100.00 - $203,000.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
"Data Scientist, Customer Engagement Analytics",$150K (Employer est.),"About the team
Zillow Group is currently seeking a Data Scientist to join the Customer Engagement Analytics (CEA) team. On the CEA team, we’re passionate about understanding the customer journey on our platforms through deep analysis and measurement. We relentlessly advocate for a seamless and delightful home shopping experience from dream to reality! The team works closely with the product organization to discover strategic opportunities in areas spanning the search and discovery process, membership and re-engagement, evaluation and curation of potential homes, and personalization for both the Zillow and Trulia brands. Finally, we scale this work by partnering with engineering teams to build and maintain key analytics tools and infrastructure.
About the role
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $107,800.00 - $172,200.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Senior Applied Scientist,$150K (Employer est.),"About the team
Join our industry-leading Economic Research team bringing innovative analysis, creativity and excellence to the U.S. housing market. We create, productionalize, analyze, and share a full suite of housing data products and analysis for an audience inside and outside of Zillow. Our work contextualizes Zillow’s unparalleled living database of all homes and hundreds of millions of customers to provide insight to everyday consumers and open data to hundreds of researchers and policymakers across the country. You’ll work in an informal, fun, collaborative atmosphere with a dynamic team with a diverse range of interests and skills.

Learn more at www.zillow.com/research
About the role

This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, the standard pay range for this role is $150,200.00 - $239,900.00 Annually. This range is specific to Colorado and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location.",4.3,"Zillow
4.3",Washington State,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD)
Data Scientist,$150K (Employer est.),"The NSA Story The National Security Agency (NSA) exists to obtain insight into foreign adversaries' plans and intentions and protect our U.S. cybersecurity interests. We provide national security insights and threat warnings to government decision-makers and eradicate cybersecurity threats. How You Can Contribute Data science is present in every aspect of the NSA mission. Are you ready to use your technical expertise to analyze large data sets to inform decision-makers against foreign threats? Data scientists at NSA tackle high priority, often lifesaving, foreign intelligence and cybsersecurity challenges by leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. Data scientists have opportunities to attend technical conferences with experts from industry and academia as well as explore and share NSA's challenges and successes at technical roundtables. Responsibilities - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",3.6,"National Security Agency
3.6","Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
